TaxID,Name,Pathogenic associations
589159,Actinomadura sputi,"Актиномицетома, мадурская стопа "
115336,Actinomadura vinacea,"Актиномицетома, мадурская стопа "
1658,Actinomyces bovis,Актиномикоз
272548,Actinomyces dentalis,Актиномикоз
52769,Actinomyces gerencseriae,Актиномикоз
55565,Actinomyces graevenitzii,Актиномикоз
1659,Actinomyces israelii,Актиномикоз
544581,Actinomyces johnsonii,Актиномикоз
461393,Actinomyces massiliensis,Актиномикоз
1655,Actinomyces naeslundii,Актиномикоз
206043,Actinomyces oricola,Актиномикоз
544580,Actinomyces oris,Актиномикоз
111015,Actinomyces radicidentis,Актиномикоз
1288391,Actinomyces timonensis,Актиномикоз
1689268,Actinomyces urinae,Актиномикоз
103621,Actinomyces urogenitalis,Актиномикоз
1656,Actinomyces viscosus,Актиномикоз
1445614,Actinotignum sanguinis,"Пиелонефриты, инфекции уретрального тракта, инфекции кожи. Флора респираторного тракта"
59505,Actinotignum schaalii,"Пиелонефриты, инфекции уретрального тракта, инфекции кожи. Флора респираторного тракта"
190146,Actinotignum urinale,"Пиелонефриты, инфекции уретрального тракта, инфекции кожи. Флора респираторного тракта"
267800,Advenella incenata,"Легочные инфекции, бактериемия"
87541,Aerococcus christensenii,"Эндокардиты, инфекции уретрального тракта, менингиты, абсцессы, инфекции ассоциированные с перитонеальным диализом, лимфадениты, спондодактилиты"
119206,Aerococcus sanguinicola,"Эндокардиты, инфекции уретрального тракта, менингиты, абсцессы, инфекции ассоциированные с перитонеальным диализом, лимфадениты, спондодактилиты"
1376,Aerococcus urinae,"Эндокардиты, инфекции уретрального тракта, менингиты, абсцессы, инфекции ассоциированные с перитонеальным диализом, лимфадениты, спондодактилиты"
128944,Aerococcus urinaehominis,"Эндокардиты, инфекции уретрального тракта, менингиты, абсцессы, инфекции ассоциированные с перитонеальным диализом, лимфадениты, спондодактилиты"
1377,Aerococcus viridans,"Эндокардиты, инфекции уретрального тракта, менингиты, абсцессы, инфекции ассоциированные с перитонеальным диализом, лимфадениты, спондодактилиты"
656,Aeromonas allosaccharophila,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
105751,Aeromonas bestiarum,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
648,Aeromonas caviae,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
196024,Aeromonas dhakensis,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
29489,Aeromonas enteropelogenes,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
644,Aeromonas hydrophila,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
650,Aeromonas jandaei,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
651,Aeromonas media,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
645,Aeromonas salmonicida,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
633415,Aeromonas sanarellii,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
652,Aeromonas schubertii,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
646,Aeromonas sobria,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
633417,Aeromonas taiwanensis,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
654,Aeromonas veronii,"Раневые инфекции, абсцессы, септицемия, менингиты, инфекции ассоциированные с укусами пиявок, диарея. Ассоциирован с водой"
151414,Afipia birgiae,Пневмонии
56946,Afipia broomeae,"Инфекции костного мозга, септические артриты"
1034,Afipia clevelandensis,Инфекции костей
1035,Afipia felis,Болезнь кошачьей царапины
211460,Afipia massiliensis,Пневмонии
39491,Agathobacter rectalis,Флора кишечника
714,Aggregatibacter actinomycetemcomitans ,"HACEK. Периодонтиты, эндокардиты, абсцессы, перикардиты, менингиты. Флора рта"
732,Aggregatibacter aphrophilus,"HACEK. Периодонтиты, эндокардиты, абсцессы, перикардиты, менингиты. Флора рта"
739,Aggregatibacter segnis,"HACEK. Периодонтиты, эндокардиты, абсцессы, перикардиты, менингиты. Флора рта"
362,Agrobacterium radiobacter,"Эндокардиты, инфекции ассоциированные с перитонеальным диализом, инфекции уретрального тракта, сепсис"
358,Agrobacterium tumefaciens,"Эндокардиты, инфекции ассоциированные с перитонеальным диализом, инфекции уретрального тракта, сепсис"
648995,Agrobacterium pusense,Бактериемия
511,Alcaligenes faecalis,"пневмонии, отиты, инфекции уретрального тракта, остеомиелиты, бактериемия"
32001,Alcaligenes odorans,"Пневмонии, отиты, инфекции уретрального тракта, остеомиелиты, бактериемия"
111143,Alishewanella fetalis,Смерть плода
214856,Alistipes finegoldii,"Аппендицит, перитониты, абдоминальные абсцессы"
626932,Alistipes indistinctus,"Аппендицит, перитониты, абдоминальные абсцессы"
328813,Alistipes onderdonkii,"Аппендицит, перитониты, абдоминальные абсцессы"
28117,Alistipes putredinis,"Аппендицит, перитониты, абдоминальные абсцессы"
328814,Alistipes shahii,"Аппендицит, перитониты, абдоминальные абсцессы"
208968,Alkanindiges hongkongensis,Абсцессы
1652,Alloiococcus otitis,Средний отит
671218,Alloprevotella rava,Флора рта
76122,Alloprevotella tannerae,"Абсцессы, бактериемия, раневые инфекции, инфекции ассоциированные с укусами, инфекции уретрального тракта, периодонтиты, инфекции эндодонта"
419015,Alloscardovia omnicolens,"Бактериемия, преждевременный разрыв амниотического мешка"
346045,Amycolatopsis benzoatilytica,Редкий
31958,Amycolatopsis orientalis,Редкий
187982,Amycolatopsis palatopharyngis,Инфекции неба и глотки
179995,Anaerobiospirillum thomasii,"Диарея, бактериемия"
13335,Anaerobiospirillum succiniciproducens,"Бактериемия, инфекции суставов. "
361500,Anaerococcus degeneri,"Смешанные анаэробные инфекции, абсцессы"
33029,Anaerococcus hydrogenalis,"Смешанные анаэробные инфекции, абсцессы"
33032,Anaerococcus lactolyticus,"Смешанные анаэробные инфекции, абсцессы"
411577,Anaerococcus murdochii,"Смешанные анаэробные инфекции, абсцессы"
1755241,Anaerococcus nagyae,"Смешанные анаэробные инфекции, абсцессы"
54007,Anaerococcus octavius,"Смешанные анаэробные инфекции, абсцессы"
33034,Anaerococcus prevotii,"Смешанные анаэробные инфекции, абсцессы"
33036,Anaerococcus tetradius,"Смешанные анаэробные инфекции, абсцессы"
33037,Anaerococcus vaginalis,"Смешанные анаэробные инфекции, абсцессы"
156456,Anaeroglobus geminatus,Постоперационные инфекции
118967,Anaerorhabdus furcosa,"Абсцессы легкого, абдоминальные абсцессы"
105841,Anaerostipes caccae,Флора кишечника
948,Anaplasma phagocytophilum,Анаплазмоз
949,Anaplasma platys,Анаплазмоз
265719,Aquimonas voraii,Редкий
1750,Arachnia propionica,"Абсцессы, эндокардиты, бактериемия, септические артриты, эндофтальмиты"
28264,Arcanobacterium haemolyticum,"Тонзилиты, целлюлиты, лимфаденопатия, абсцессы мозга, септицемия, остеомиелиты"
28197,Arcobacter butzleri,"Спазмы живота, диарея"
28198,Arcobacter cryaerophilus,"Спазмы живота, диарея"
28200,Arcobacter skirrowii,"Спазмы живота, диарея"
603050,Arcobacter mytili,"Спазмы живота, диарея"
98672,Arthrobacter luteolus,"Бактериемия, раневые инфекции"
156980,Arthrobacter woluwensis,"Эндокардиты, бактериемия"
29359,Asaccharospora irregularis,"Раневые инфекции, бактериемия, абсцессы"
91915,Asaia bogorensis,"Бактериемия, перитониты"
415421,Asaia lannensis,Бактериемия
1393034,Atopobium deltae,Бактериемия
1381,Atopobium minutum,"Инфекции уретрального тракта, абсцессы, раневые инфекции"
370622,Aureimonas altamirensis,"Бактериемия, перитониты"
678932,Auritidibacter ignavus,Инфекции уха
755,Avibacterium gallinarum,"Раневые инфекции, септицемия, абсцессы, пневмонии, эндокардиты, менингиты. Зооноз"
45677,Azohydromonas lata,"Пневмонии, отиты, инфекции уретрального тракта, остеомиелиты, бактериемия"
192,Azospirillum brasilense,Перитониты ассоциированные с перитонеальным диализом
1392,Bacillus anthracis,Сибирская язва
1396,Bacillus cereus,"Пищевые отравления, раневые инфекции, инфекции кожи, бактериемия, эндокардиты, глазные инфекции"
580165,Bacillus cytotoxicus,Пищевые отравления
324767,Bacillus infantis,"Сепсис новорожденных, миокардиты"
